place,fs_place,place_id,title,item_id,status
Pićan,"Pićan, Istria, Croatia",2080663,,,none
Cerovlje,"Cerovlje, Pola, Italy",11574448,,,none
Pazin,"Pazin, Istria, Croatia",433341,"Kirchenbuch, 1861-1862",koha:534304,held
Pazin,"Pazin, Istria, Croatia",433341,"Matična knjiga, 1582-1882",koha:725172,held
Pazin,"Pazin, Istria, Croatia",433341,"Matična knjiga, 1826-1884",koha:727116,held
Gračišće,"Gračišće, Istria, Croatia",2076389,,,none
Ližnjan,"Ližnjan, Pola, Italy",11574396,"Matična knjiga, 1815-1902",koha:725029,held
Barban,"Barban, Istria, Croatia",2071882,"Matična knjiga, 1716-1891",koha:723907,held
Motovun,"Motovun, Istria, Croatia",2079098,,,none
Umag,"Umag, Istria, Croatia",2085220,"Matična knjiga krštenih Župe Umag (1483.-1643.)/ priredile Danijela Doblanović Šuran, Marija Mogorović Crljenko",koha:4588410,held
Umag,"Umag, Istria, Croatia",2085220,"Registri ecclesiastici di Umago (Trieste), 1835-1900",koha:415430,held
Svetvinčenat,"Svetvinčenat, Istria, Croatia",2085648,"Matična knjiga, 1568-1917",koha:728445,held
Vižinada,"Vižinada, Istria, Croatia",2086669,"Matična knjiga, 1663-1888",koha:728786,held
Poreč,"Poreč, Požega-Slavonia, Croatia",2082553,"Matična knjiga, 1657-1887",koha:725416,held
Poreč,"Poreč, Požega-Slavonia, Croatia",2082553,"Matična knjiga, ca. 1600-1897",koha:485484,held
Čepić,"Čepić, Istria, Croatia",2069188,,,none
Rovinj,"Rovinj, Istria, Croatia",433338,"Matična knjiga, 1553-1913",koha:726910,held
Fažana,"Fažana, Istria, Croatia",2077570,"Matična knjiga, 1810-1859",koha:724102,held
Gologorica,"Gologorica, Istria, Croatia",2075755,,,none
Premantura,"Premantura, Istria, Croatia",2081575,"Matična knjiga, 1791-1892",koha:725445,held
Oprtalj,"Oprtalj, Pola, Italy",11574326,"Italia, Pola, Portole (Parrocchia di San Giorgio Martire). Registri ecclesiastici",olib:2583958,held
Oprtalj,"Oprtalj, Pola, Italy",11574326,"Matična knjiga, 1815-1856",koha:725113,held
Pula,"Pula, Istria, Croatia",2081856,Grabungen in Visazze/ Friedrigh Kenner,koha:412138,held
Pula,"Pula, Istria, Croatia",2081856,"Kirchenbuch, 1799-1918",koha:674373,held
Pula,"Pula, Istria, Croatia",2081856,"Kirchenbuch, 1856-1918",koha:674361,held
Pula,"Pula, Istria, Croatia",2081856,"Kirchenbuch, 1866-1918",koha:671517,held
Pula,"Pula, Istria, Croatia",2081856,"Kirchenbuch, 1869-1880",koha:435017,held
Pula,"Pula, Istria, Croatia",2081856,"Kirchenbuch, 1870-1890",koha:1062491,held
Pula,"Pula, Istria, Croatia",2081856,"Matična knjiga, 1613-1901",koha:725945,held
Pula,"Pula, Istria, Croatia",2081856,Pulski sveti franjo : crkva i samostan sveti Franje u Puli/ Ljudevit Anton Maračić,koha:1324257,held
Buzet,"Buzet, Istria, Croatia",433201,"Matična knjiga, 1815-1903",koha:723944,held
Labin,"Labin, Split-Dalmatia, Croatia",2078587,"Matična knjiga, 1536-1910",koha:724912,held
Plomin,"Plomin, Istria, Croatia",2082098,"Matična knjiga, 1844-1894",koha:725190,held
Kršan,"Kršan, Istria, Croatia",2074112,"Matična knjiga, 1713-1904",koha:724605,held
Žminj,"Žminj, Istria, Croatia",2088312,"Matična knjiga, 1716-1884",koha:964067,held
Tinjan,"Tinjan, Istria, Croatia",2085423,"Matična knjiga, 1703-1896",koha:728746,held
Lindar,"Lindar, Istria, Croatia",2078885,,,none
Novigrad,"Novigrad, Brod-Posavina, Croatia",2080983,"Italia, Pola, Cittanova d'Istria (Collegiata Parrocchiale). Registri ecclesiastici, 1835-1887",olib:1497801,held
Buje,"Buje, Postojna, Slovenia",2070818,,,none
Grožnjan,"Grožnjan, Istria, Croatia",2074424,,,none
Vrsar,"Vrsar, Istria, Croatia",2086478,"Matična knjiga, 1613-1898",koha:963334,held
Bale,"Bale, Sudan",21895,,,none
Brtonigla,"Brtonigla, Istria, Croatia",2070800,"Italia, Trieste, Verteneglio (Parrocchia di San Zeno). Registri ecclesiastici",olib:2583973,held
Višnjan,"Višnjan, Istria, Croatia",2086591,,,none
Kanfanar,"Kanfanar, Istria, Croatia",2075230,"Matična knjiga, 1763-1898",koha:724377,held
Marčana,"Marčana, Istria, Croatia",2079630,"Matična knjiga, 1865-1910",koha:725072,held
Kaštelir,"Kaštelir, Istria, Croatia",2073351,"Matična knjiga, 1663-1888",koha:728786,held
Kaštelir,"Kaštelir, Istria, Croatia",2073351,"Matična knjiga, 1753-1907",koha:724447,held
Medulin,"Medulin, Istria, Croatia",2080091,"Matična knjiga, 1648-1899",koha:485746,held
Vodnjan,"Vodnjan, Istria, Croatia",2086744,"Kirchenbuch, 1850-1894",koha:1104064,held
Vodnjan,"Vodnjan, Istria, Croatia",2086744,"Kirchenbuch, 1858-1894",koha:725995,held
Vodnjan,"Vodnjan, Istria, Croatia",2086744,"Matična knjiga, 1815-1893",koha:963267,held
Roč,"Roč, Istria, Croatia",2083221,"Italia, Pola, Rozzo (Parrocchia di Roti). Registri ecclesiastici, 1835-1946",olib:1497806,held
Roč,"Roč, Istria, Croatia",2083221,"Matična knjiga, 1651-1871",koha:725890,held
Volosko,"Volosko, Primorje-Gorski Kotar, Croatia",2086789,"Matična knjiga, 1791-1927",koha:723482,held
Sveti Lovreč,"Světí, Hradec Králové, Czechia",7201002,"Czech Republic, Hradec Králové, Světí, Světí, census, 1869-1921",olib:2198920,held
Rijeka,"Rijeka, Primorje-Gorski Kotar, Croatia",433337,Fiume,koha:1919284,held
Rijeka,"Rijeka, Primorje-Gorski Kotar, Croatia",433337,"Kirchenbuch, 1815-1819",koha:430696,held
Rijeka,"Rijeka, Primorje-Gorski Kotar, Croatia",433337,"Kirchenbuch, 1820-1823",koha:509446,held
Rijeka,"Rijeka, Primorje-Gorski Kotar, Croatia",433337,"Kirchenbuch, 1852-1856",koha:431035,held
Rijeka,"Rijeka, Primorje-Gorski Kotar, Croatia",433337,"Kirchenbuch, 1852-1918",koha:1142811,held
Rijeka,"Rijeka, Primorje-Gorski Kotar, Croatia",433337,"Kirchenbuch, 1854-1870",koha:433941,held
Rijeka,"Rijeka, Primorje-Gorski Kotar, Croatia",433337,"Kirchenbuch, 1854-1918",koha:1058780,held
Rijeka,"Rijeka, Primorje-Gorski Kotar, Croatia",433337,"Kirchenbuch, 1878-1879",koha:531899,held
Rijeka,"Rijeka, Primorje-Gorski Kotar, Croatia",433337,"Matična knjiga, 1590-1920",koha:722509,held
Rijeka,"Rijeka, Primorje-Gorski Kotar, Croatia",433337,"Matična knjiga, 1648-1899",koha:723053,held
Rijeka,"Rijeka, Primorje-Gorski Kotar, Croatia",433337,"Matična knjiga, 1672-1912",koha:485577,held
Rijeka,"Rijeka, Primorje-Gorski Kotar, Croatia",433337,"Matična knjiga, 1717-1902",koha:682370,held
