place,fs_place,place_id,title,item_id,status
Rijeka,"Rijeka, Primorje-Gorski Kotar, Croatia",433337,"Matična knjiga, 1770-1909",koha:707311,held
Rijeka,"Rijeka, Primorje-Gorski Kotar, Croatia",433337,"Matična knjiga, 1781-1907",koha:722609,held
Rijeka,"Rijeka, Primorje-Gorski Kotar, Croatia",433337,"Matična knjiga, 1785-1874",koha:682241,held
Rijeka,"Rijeka, Primorje-Gorski Kotar, Croatia",433337,"Matična knjiga, 1813",koha:722621,held
Rijeka,"Rijeka, Primorje-Gorski Kotar, Croatia",433337,A short history of city of Rijeka/ Igor Žic,koha:1838695,held
Rijeka,"Rijeka, Primorje-Gorski Kotar, Croatia",433337,Vjesnik : Državnog arhiva u Rijeci,koha:1643570,held
Rijeka,"Rijeka, Primorje-Gorski Kotar, Croatia",433337,Vodič Historijskog Arhiva Rijeka,koha:1324982,held
Kastav,"Kastav, Primorje-Gorski Kotar, Croatia",2073377,"Matična knjiga, 1672-1912",koha:485577,held
Boljun,"Boljun, Istria, Croatia",2237100,Knjiga oltara bratovštine sv. Mikule u Boljunu (1582-1672) : glagoljski zapisi od 1582 do 1657 godine/ Dražen Vlahov,koha:1580291,held
Boljun,"Boljun, Istria, Croatia",2237100,"Matična knjiga, 1640-1667",koha:485452,held
Bribir,"Bribir, Primorje-Gorski Kotar, Croatia",2070880,"Matična knjiga, 1678-1900",koha:522308,held
Bribir,"Bribir, Primorje-Gorski Kotar, Croatia",2070880,"Matična knjiga, 1831-1858",koha:530232,held
Opatija,"Opatija, Istria, Croatia",2390214,"Kirchenbuch, 1820-1823",koha:509446,held
Opatija,"Opatija, Istria, Croatia",2390214,"Matična knjiga, 1791-1927",koha:723482,held
Drivenik,"Drivenik, Primorje-Gorski Kotar, Croatia",2077247,"Matična knjiga, 1815-1857",koha:524794,held
Krk,"Krk, Primorje-Gorski Kotar, Croatia",11494955,Glagoljski rukopisi otoka Krka/ Vjekoslav Štefanić,koha:412295,held
Krk,"Krk, Primorje-Gorski Kotar, Croatia",11494955,"Matična knjiga, 1565-1917",koha:486463,held
Krk,"Krk, Primorje-Gorski Kotar, Croatia",11494955,"Matična knjiga, 1585-1901",koha:485415,held
Krk,"Krk, Primorje-Gorski Kotar, Croatia",11494955,Sull'origine dei conti di Veglia sedicenti frangipani,koha:104977,held
Grižane,"Grižane, Primorje-Gorski Kotar, Croatia",2074471,"Matična knjiga, 1692-1894",koha:532650,held
Lovran,"Lovran, Primorje-Gorski Kotar, Croatia",2077934,"Matična knjiga, 1714-1911",koha:719148,held
Novi Vinodolski,"Novi, Hordaland, Norway",781343,,,none
Senj,"Senj, Split-Dalmatia, Croatia",2445118,"Kirchenbuch, 1805-1806",koha:495554,held
Senj,"Senj, Split-Dalmatia, Croatia",2445118,"Matična knjiga, 1695-1868",koha:468635,held
Senj,"Senj, Split-Dalmatia, Croatia",2445118,"Matična knjiga, 1734-1920",koha:456772,held
Rab,"Rab, Primorje-Gorski Kotar, Croatia",2081829,"Matična knjiga, 1569-1901",koha:653049,held
Rab,"Rab, Primorje-Gorski Kotar, Croatia",2081829,Rapska baština/ Ivo Barić,koha:1838696,held
Cres,"Cres, Primorje-Gorski Kotar, Croatia",2068978,"Civilna registracija, 1812",koha:681523,held
Cres,"Cres, Primorje-Gorski Kotar, Croatia",2068978,"Matična knjiga, 1571-1902",koha:681513,held
Mione,"Mione, Rumo, Trento, Trentino-Alto Adige, Italy",13973171,,,none
Comeglians,"Comeglians, Udine, Friuli Venezia Giulia, Italy",10896014,"Italia, Udine, Calgaretto, Comeglians. Stato civile, 1807",olib:2061931,held
Comeglians,"Comeglians, Udine, Friuli Venezia Giulia, Italy",10896014,"Italia, Udine, Comeglians. Stato civile",olib:2061944,held
Comeglians,"Comeglians, Udine, Friuli Venezia Giulia, Italy",10896014,"Italia, Udine, Mieli, Comeglians. Stato civile",olib:2072823,held
Comeglians,"Comeglians, Udine, Friuli Venezia Giulia, Italy",10896014,"Italia, Udine, Povolaro e Maranzanis, Comeglians. Stato civile",olib:2072826,held
Comeglians,"Comeglians, Udine, Friuli Venezia Giulia, Italy",10896014,"Italia, Udine, Tualis e Noiaretto, Comeglians. Stato civile",olib:2072828,held
Prato Carnico,"Prato, Tuscany, Italy",3157473,"Censimento di Prato (Firenze), 1808-1809, 1861",koha:779717,held
Prato Carnico,"Prato, Tuscany, Italy",3157473,Firenze e Prato : carta delle provincie,koha:1003269,held
Prato Carnico,"Prato, Tuscany, Italy",3157473,"Italia, Prato, Cantagallo. Stato civile : Tribunale, 1901-1945",olib:2729404,held
Prato Carnico,"Prato, Tuscany, Italy",3157473,"Italia, Prato, Carmignano. Stato civile",olib:2511298,held
Prato Carnico,"Prato, Tuscany, Italy",3157473,"Italia, Prato, Carmignano. Stato civile : Tribunale, 1901-1945",olib:2729405,held
Prato Carnico,"Prato, Tuscany, Italy",3157473,"Italia, Prato, Fossato. Stato civile",olib:2511299,held
Prato Carnico,"Prato, Tuscany, Italy",3157473,"Italia, Prato, Montemurlo. Stato civile",olib:2511300,held
Prato Carnico,"Prato, Tuscany, Italy",3157473,"Italia, Prato, Montemurlo. Stato civile : Tribunale, 1902-1945",olib:2729406,held
Prato Carnico,"Prato, Tuscany, Italy",3157473,"Italia, Prato, Prato. Stato civile",olib:2511301,held
Prato Carnico,"Prato, Tuscany, Italy",3157473,"Italia, Prato, Prato. Stato civile : Tribunale, 1901-1946",olib:2729407,held
Prato Carnico,"Prato, Tuscany, Italy",3157473,"Italia, Prato, Vernio. Stato civile",olib:2511302,held
Prato Carnico,"Prato, Tuscany, Italy",3157473,"Italia, Prato, Vèrnio. Stato civile : Tribunale, 1901-1946",olib:2729408,held
Prato Carnico,"Prato, Tuscany, Italy",3157473,"Registri dello stato civile di Carmignano (Firenze), 1866-1900",koha:779602,held
Prato Carnico,"Prato, Tuscany, Italy",3157473,"Registri dello stato civile di Catagallo (Firenze), 1866-1900",koha:779596,held
Prato Carnico,"Prato, Tuscany, Italy",3157473,"Registri dello stato civile di Montemurlo (Firenze), 1866-1900",koha:779633,held
Prato Carnico,"Prato, Tuscany, Italy",3157473,"Registri dello stato civile di Prato (Firenze), 1866-1905",koha:779651,held
Prato Carnico,"Prato, Tuscany, Italy",3157473,"Registri dello stato civile di Vèrnio (Firenze), 1866-1900",koha:779634,held
Prato Carnico,"Prato, Tuscany, Italy",3157473,"Trascritto dei registri ecclesiastici di Prato (Firenze), 1482-1867",koha:779714,held
Tolmezzo,"Tolmezzo, Udine, Friuli Venezia Giulia, Italy",10896783,"Italia, Udine, Billerio. Stato civile, 1806-1815",olib:2061927,held
Tolmezzo,"Tolmezzo, Udine, Friuli Venezia Giulia, Italy",10896783,"Italia, Udine, Cadunea. Stato civile",olib:2072806,held
Tolmezzo,"Tolmezzo, Udine, Friuli Venezia Giulia, Italy",10896783,"Italia, Udine, Cazzaso, Tolmezzo. Stato civile",olib:2061605,held
Tolmezzo,"Tolmezzo, Udine, Friuli Venezia Giulia, Italy",10896783,"Italia, Udine, Fusea, Tolmezzo. Stato civile, 1806-1814",olib:2061612,held
Tolmezzo,"Tolmezzo, Udine, Friuli Venezia Giulia, Italy",10896783,"Italia, Udine, Ilegio. Stato civile",olib:2061614,held
Tolmezzo,"Tolmezzo, Udine, Friuli Venezia Giulia, Italy",10896783,"Italia, Udine, Imponzo, Tolmezzo. Stato civile, 1806-1814",olib:2061615,held
Tolmezzo,"Tolmezzo, Udine, Friuli Venezia Giulia, Italy",10896783,"Italia, Udine, Lorenzaso. Stato civile",olib:2061616,held
Tolmezzo,"Tolmezzo, Udine, Friuli Venezia Giulia, Italy",10896783,"Italia, Udine, Terzo. Stato civile, 1806-1815",olib:2061629,held
Tolmezzo,"Tolmezzo, Udine, Friuli Venezia Giulia, Italy",10896783,"Italia, Udine, Tolmezzo. Stato civile",olib:2062034,held
Tolmezzo,"Tolmezzo, Udine, Friuli Venezia Giulia, Italy",10896783,"Italia, Venezia, Scodovacca e Terzo e Villa Vicentina e Grado e Isola Morosini. Stato civile",olib:2127474,held
Tolmezzo,"Tolmezzo, Udine, Friuli Venezia Giulia, Italy",10896783,"Italia, Venezia, Scodovacca e Terzo e Villa Vicentina e Grado. Stato civile",olib:2127473,held
Rigolato,"Rigolato, Udine, Friuli Venezia Giulia, Italy",10896672,"Italia, Udine, Givigliana, Rigolato. Stato civile",olib:2072816,held
Rigolato,"Rigolato, Udine, Friuli Venezia Giulia, Italy",10896672,"Italia, Udine, Magnanins e Valpicetto, Rigolato. Stato civile",olib:2072821,held
Rigolato,"Rigolato, Udine, Friuli Venezia Giulia, Italy",10896672,"Italia, Udine, Rigolato. Stato civile",olib:2061625,held
Rigolato,"Rigolato, Udine, Friuli Venezia Giulia, Italy",10896672,"Italia, Udine, Vuezzis e Gracco, Rigolato. Stato civile",olib:2072830,held
Raveo,"Raveo, Udine, Friuli Venezia Giulia, Italy",10896663,"Italia, Udine, Esemon di Sopra. Stato civile",olib:2072814,held
Raveo,"Raveo, Udine, Friuli Venezia Giulia, Italy",10896663,"Italia, Udine, Esemon di Sotto. Stato civile, 1806-1808",olib:2061608,held
Raveo,"Raveo, Udine, Friuli Venezia Giulia, Italy",10896663,"Italia, Udine, Raveo. Stato civile",olib:2062018,held
Villa Santina,"Villa, Võrumaa, Estonia",12132544,,,none
Ampezzo,"Ampezzo, Udine, Friuli Venezia Giulia, Italy",10895585,"Italia, Udine, Ampezzo. Stato civile",olib:2061601,held
Ampezzo,"Ampezzo, Udine, Friuli Venezia Giulia, Italy",10895585,"Italia, Udine, Oltris, Ampezzo. Stato civile",olib:2061618,held
Socchieve,"Socchieve, Udine, Friuli Venezia Giulia, Italy",10896749,"Italia, Udine, Dilignidis, Socchieve. Stato civile",olib:2072813,held
Socchieve,"Socchieve, Udine, Friuli Venezia Giulia, Italy",10896749,"Italia, Udine, Feltrone, Socchieve. Stato civile",olib:2072815,held
Socchieve,"Socchieve, Udine, Friuli Venezia Giulia, Italy",10896749,"Italia, Udine, Lungis, Socchieve. Stato civile",olib:2072819,held
Socchieve,"Socchieve, Udine, Friuli Venezia Giulia, Italy",10896749,"Italia, Udine, Mediis, Socchieve. Stato civile",olib:2072822,held
Socchieve,"Socchieve, Udine, Friuli Venezia Giulia, Italy",10896749,"Italia, Udine, Midiis e Priuso, Socchieve. Stato civile, 1806",olib:2061989,held
Socchieve,"Socchieve, Udine, Friuli Venezia Giulia, Italy",10896749,"Italia, Udine, Nonta. Stato civile",olib:2072824,held
Socchieve,"Socchieve, Udine, Friuli Venezia Giulia, Italy",10896749,"Italia, Udine, Socchieve. Stato civile",olib:3743936,held
Socchieve,"Socchieve, Udine, Friuli Venezia Giulia, Italy",10896749,"Italia, Udine, Socchieve. Stato civile, 1806-1814",olib:2062030,held
Socchieve,"Socchieve, Udine, Friuli Venezia Giulia, Italy",10896749,"Italia, Udine, Viaso, Socchieve. Stato civile",olib:2072829,held
Lauco,"Lauco, Udine, Friuli Venezia Giulia, Italy",10896208,"Italia, Udine, Alleginis, Lauco. Stato civile, 1806-1807",olib:2063764,held
Lauco,"Lauco, Udine, Friuli Venezia Giulia, Italy",10896208,"Italia, Udine, Avaglio, Lauco. Stato civile, 1806-1813",olib:2063765,held
Lauco,"Lauco, Udine, Friuli Venezia Giulia, Italy",10896208,"Italia, Udine, Lauco. Stato civile",olib:2063771,held
Lauco,"Lauco, Udine, Friuli Venezia Giulia, Italy",10896208,"Italia, Udine, Trava. Stato civile, 1806-1811",olib:2063777,held
Lauco,"Lauco, Udine, Friuli Venezia Giulia, Italy",10896208,"Italia, Udine, Vinaio, Lauco. Stato civile, 1806-1814",olib:2063778,held
Makarska,"Makarska, Split-Dalmatia, Croatia",2078245,"Matična knjiga, 1662-1883",koha:648886,held
Makarska,"Makarska, Split-Dalmatia, Croatia",2078245,Omiška krajina - Poljica - Makarsko primorje : od antike do 1918 godine/ Bože Mimica,koha:1342099,held
Enemonzo,"Enemonzo, Udine, Friuli Venezia Giulia, Italy",10896061,"Italia, Udine, Colza, Enemonzo. Stato civile, 1806-1812",olib:2061606,held
Enemonzo,"Enemonzo, Udine, Friuli Venezia Giulia, Italy",10896061,"Italia, Udine, Enemonzo. Stato civile",olib:2061607,held
Enemonzo,"Enemonzo, Udine, Friuli Venezia Giulia, Italy",10896061,"Italia, Udine, Esemon di Sotto. Stato civile, 1806-1808",olib:2061608,held
Enemonzo,"Enemonzo, Udine, Friuli Venezia Giulia, Italy",10896061,"Italia, Udine, Fresis, Enemonzo. Stato civile, 1806-1808",olib:2061611,held
Enemonzo,"Enemonzo, Udine, Friuli Venezia Giulia, Italy",10896061,"Italia, Udine, Maiaso, Enemonzo. Stato civile, 1806-1807",olib:2061617,held
Enemonzo,"Enemonzo, Udine, Friuli Venezia Giulia, Italy",10896061,"Italia, Udine, Quinis, Enemonzo. Stato civile, 1806-1808",olib:2061623,held
Trilj,"Trilj, Split-Dalmatia, Croatia",11411137,"Matična knjiga, 1826-1878",koha:667954,held
Postira,"Postira, Split-Dalmatia, Croatia",2082568,"Matična knjiga, 1821-1857",koha:651968,held
Sinj,"Sinj, Split-Dalmatia, Croatia",433377,"Matična knjiga, 1699-1899",koha:654278,held
Split,"Split, Split-Dalmatia, Croatia",2242156,Inventar zbirke matičnih knjiga u historijskom arhivu u Splitu,koha:169918,held
Split,"Split, Split-Dalmatia, Croatia",2242156,"Kirchenbuch, 1814-1818",koha:509478,held
Split,"Split, Split-Dalmatia, Croatia",2242156,"Kirchenbuch, 1816-1922",koha:430755,held
Split,"Split, Split-Dalmatia, Croatia",2242156,"Kirchenbuch, 1839-1894",koha:671756,held
Split,"Split, Split-Dalmatia, Croatia",2242156,"Kirchenbuch, 1869-1893",koha:1060284,held
Split,"Split, Split-Dalmatia, Croatia",2242156,"Kirchenbuch, 1870-1893",koha:671620,held
Split,"Split, Split-Dalmatia, Croatia",2242156,"Matična knjiga, 1597-1931",koha:654972,held
Split,"Split, Split-Dalmatia, Croatia",2242156,"Matična knjiga, 1600-1920",koha:672416,held
Split,"Split, Split-Dalmatia, Croatia",2242156,"Matična knjiga, 1824-1892",koha:655050,held
Split,"Split, Split-Dalmatia, Croatia",2242156,"Matična knjiga, 1828-1920",koha:655112,held
Split,"Split, Split-Dalmatia, Croatia",2242156,"Matična knjiga, 1858-1893",koha:657349,held
Split,"Split, Split-Dalmatia, Croatia",2242156,"Matična knjiga, 1869-1891",koha:957872,held
Split,"Split, Split-Dalmatia, Croatia",2242156,"Matična knjiga, 1878-1894",koha:657512,held
Split,"Split, Split-Dalmatia, Croatia",2242156,"Obitelj Tartaglia i Split : neraskidive veze, 1150-2021/ Siniša Tartaglia",koha:4584714,held
Split,"Split, Split-Dalmatia, Croatia",2242156,Prezime i preci između predaje i dokumenata i drugi članci/ Mario Nepo Kuzmanić,koha:4584715,held
Split,"Split, Split-Dalmatia, Croatia",2242156,Split u pismima generala i generalnog providura Lunarda Foscola 1647- 1651,koha:170439,held
Split,"Split, Split-Dalmatia, Croatia",2242156,Splitski građani : prezime i etnos (i drugi članci)/ Mario Nepo Kuzmanić,koha:4587789,held
Split,"Split, Split-Dalmatia, Croatia",2242156,"Splitski plemići, prezime i etnos : i druge povijesne teme/ Mario-Nepo Kuzmanić",koha:4588438,held
Poljica,"Poljica, Croatia",261848,"Matična knjiga, 1815-1902",koha:721130,held
Poljica,"Poljica, Croatia",261848,"Matična knjiga, 1817-1863",koha:651864,held
Poljica,"Poljica, Croatia",261848,Obiteljska prezimena u Poljicima 1725. godine,koha:170013,held
Poljica,"Poljica, Croatia",261848,Omiška krajina - Poljica - Makarsko primorje : od antike do 1918 godine/ Bože Mimica,koha:1342099,held
Bakar,"Bakar, Primorje-Gorski Kotar, Croatia",2071294,"Matična knjiga, 1692-1891",koha:680680,held
Crikvenica,"Crikvenica, Primorje-Gorski Kotar, Croatia",433255,"Matična knjiga, 1798-1908",koha:522842,held
Ovaro,"Ovaro, Udine, Friuli Venezia Giulia, Italy",10896402,"Italia, Udine, Agrons e Cella, Ovaro. Stato civile",olib:2072805,held
Ovaro,"Ovaro, Udine, Friuli Venezia Giulia, Italy",10896402,"Italia, Udine, Chialina. Stato civile, 1806",olib:2063883,held
Ovaro,"Ovaro, Udine, Friuli Venezia Giulia, Italy",10896402,"Italia, Udine, Cludinico, Ovaro. Stato civile",olib:2072811,held
Ovaro,"Ovaro, Udine, Friuli Venezia Giulia, Italy",10896402,"Italia, Udine, Entrampo. Ovaro. Stato civile, 1806-1808",olib:2063885,held
Ovaro,"Ovaro, Udine, Friuli Venezia Giulia, Italy",10896402,"Italia, Udine, Lenzone, Ovaro. Stato civile, 1806-1807",olib:2063889,held
Ovaro,"Ovaro, Udine, Friuli Venezia Giulia, Italy",10896402,"Italia, Udine, Liariis. Stato civile",olib:2072817,held
Ovaro,"Ovaro, Udine, Friuli Venezia Giulia, Italy",10896402,"Italia, Udine, Luincis, Ovaro. Stato civile",olib:2072818,held
Ovaro,"Ovaro, Udine, Friuli Venezia Giulia, Italy",10896402,"Italia, Udine, Luìnt, Ovaro. Stato civile",olib:2072820,held
Ovaro,"Ovaro, Udine, Friuli Venezia Giulia, Italy",10896402,"Italia, Udine, Mione, Ovaro. Stato civile",olib:2063891,held
Ovaro,"Ovaro, Udine, Friuli Venezia Giulia, Italy",10896402,"Italia, Udine, Muina, Ovaro. Stato civile, 1806-1807",olib:2063892,held
Ovaro,"Ovaro, Udine, Friuli Venezia Giulia, Italy",10896402,"Italia, Udine, Muscletto. Stato civile, 1806-1810, 1813-1815",olib:2063893,held
Ovaro,"Ovaro, Udine, Friuli Venezia Giulia, Italy",10896402,"Italia, Udine, Ovaro. Stato civile",olib:2063894,held
Ovaro,"Ovaro, Udine, Friuli Venezia Giulia, Italy",10896402,"Italia, Udine, Ovasta, Ovaro. Stato civile",olib:2072825,held
Omiš,"Omiš, Split-Dalmatia, Croatia",2081287,"Matična knjiga, 1588-1894",koha:649919,held
Omiš,"Omiš, Split-Dalmatia, Croatia",2081287,Omiška krajina - Poljica - Makarsko primorje : od antike do 1918 godine/ Bože Mimica,koha:1342099,held
Omiš,"Omiš, Split-Dalmatia, Croatia",2081287,Povijest i rodoslovlja obitelji Lokve Rogoznice/ Duško Marušić; Čedomir Vojnović; Bartul Marušić; Vinko Gale,koha:4584614,held
Omiš,"Omiš, Split-Dalmatia, Croatia",2081287,Rodoslovlja obitelji Novih Sela/ Vinko Gale,koha:4592540,held
Omiš,"Omiš, Split-Dalmatia, Croatia",2081287,"Rodoslovlja obitelji omisa, borka i stanića : od 1650. do 1940./ Vinko Gale",koha:4588378,held
Imotski,"Imotski, Split-Dalmatia, Croatia",11465360,"Matična knjiga, 1693-1733",koha:668390,held
Imotski,"Imotski, Split-Dalmatia, Croatia",11465360,"Matična knjiga, 1731-1859",koha:644981,held
