dapa_no,place,type,period,held_at,digitised
5619,Vodnjan / Dignano,MKR,1899-1910,BA Poreč,yes
5620,Vodnjan / Dignano,MKR,1910-1926,BA Poreč,yes
5621,Vodnjan / Dignano,MKR,1924,MU Vodnjan,yes
5622,Vodnjan / Dignano,MKR,1925,MU Vodnjan,yes
5623,Vodnjan / Dignano,MKR,1926,MU Vodnjan,yes
5624,Vodnjan / Dignano,MKR,1927,MU Vodnjan,yes
5625,Vodnjan / Dignano,MKR,1927-1944,ŽU Vodnjan,no
5626,Vodnjan / Dignano,MKR,1928,MU Vodnjan,yes
5627,Vodnjan / Dignano,MKR,1929,MU Vodnjan,yes
5628,Vodnjan / Dignano,MKR,1930,MU Vodnjan,yes
5629,Vodnjan / Dignano,MKR,1931,MU Vodnjan,yes
5630,Vodnjan / Dignano,MKR,1932,MU Vodnjan,yes
5631,Vodnjan / Dignano,MKR,1933,MU Vodnjan,yes
5632,Vodnjan / Dignano,MKR,1934,MU Vodnjan,yes
5633,Vodnjan / Dignano,MKR,1935,MU Vodnjan,yes
5634,Vodnjan / Dignano,MKR,1936,MU Vodnjan,yes
5635,Vodnjan / Dignano,MKR,1937,MU Vodnjan,yes
5636,Vodnjan / Dignano,MKR,1938,MU Vodnjan,yes
5637,Vodnjan / Dignano,MKR,1939,MU Vodnjan,yes
5638,Vodnjan / Dignano,MKR,1940,MU Vodnjan,yes
5639,Vodnjan / Dignano,MKR,1941,MU Vodnjan,yes
5640,Vodnjan / Dignano,MKR,1942,MU Vodnjan,yes
5641,Vodnjan / Dignano,MKR,1943,MU Vodnjan,yes
5642,Vodnjan / Dignano,MKR,1944,MU Vodnjan,yes
5643,Vodnjan / Dignano,MKR,1.945,MU Vodnjan,yes
5644,Vodnjan / Dignano,MKR,1945-1975,ŽU Vodnjan,no
5645,Vodnjan / Dignano,MKR,1946-1947,MU Vodnjan,yes
5646,Vodnjan / Dignano,MKR,1947-1958,MU Vodnjan,yes
5647,Vodnjan / Dignano,MKR,1959-1969,MU Vodnjan,yes
5648,Vodnjan / Dignano,MKV,1559-1813,ŽU Vodnjan,yes
5649,Vodnjan / Dignano,MKV,1596-1703,ŽU Vodnjan,yes
5650,Vodnjan / Dignano,MKV,1703-1809,ŽU Vodnjan,yes
5651,Vodnjan / Dignano,MKV,1815-1847,DAPA,no
5652,Vodnjan / Dignano,MKV,1848-1867,DAPA,no
5653,Vodnjan / Dignano,MKV,1867-1884,DAPA,no
5654,Vodnjan / Dignano,MKV,1885-1913,BA Poreč,yes
5655,Vodnjan / Dignano,MKV,1914-1949,BA Poreč,yes
5656,Vodnjan / Dignano,MKV,1924,MU Vodnjan,yes
5657,Vodnjan / Dignano,MKV,1925,MU Vodnjan,yes
5658,Vodnjan / Dignano,MKV,1926,MU Vodnjan,yes
5659,Vodnjan / Dignano,MKV,1927,MU Vodnjan,yes
5660,Vodnjan / Dignano,MKV,1928,MU Vodnjan,yes
5661,Vodnjan / Dignano,MKV,1929,MU Vodnjan,yes
5662,Vodnjan / Dignano,MKV,1929,MU Vodnjan,yes
5663,Vodnjan / Dignano,MKV,1929,MU Vodnjan,yes
5664,Vodnjan / Dignano,MKV,1930,MU Vodnjan,yes
5665,Vodnjan / Dignano,MKV,1.931,MU Vodnjan,yes
5666,Vodnjan / Dignano,MKV,1931-1939,ŽU Vodnjan,yes
5667,Vodnjan / Dignano,MKV,1932,MU Vodnjan,yes
5668,Vodnjan / Dignano,MKV,1933,MU Vodnjan,yes
5669,Vodnjan / Dignano,MKV,1934,MU Vodnjan,yes
5670,Vodnjan / Dignano,MKV,1935,MU Vodnjan,yes
5671,Vodnjan / Dignano,MKV,1936,MU Vodnjan,yes
5672,Vodnjan / Dignano,MKV,1937,MU Vodnjan,yes
5673,Vodnjan / Dignano,MKV,1937,MU Vodnjan,yes
5674,Vodnjan / Dignano,MKV,1937,MU Vodnjan,yes
5675,Vodnjan / Dignano,MKV,1938,MU Vodnjan,yes
5676,Vodnjan / Dignano,MKV,1939,MU Vodnjan,yes
5677,Vodnjan / Dignano,MKV,1939,MU Vodnjan,yes
5678,Vodnjan / Dignano,MKV,1940,MU Vodnjan,yes
5679,Vodnjan / Dignano,MKV,1940-1949,ŽU Vodnjan,yes
5680,Vodnjan / Dignano,MKV,1941,MU Vodnjan,yes
5681,Vodnjan / Dignano,MKV,1942,MU Vodnjan,yes
5682,Vodnjan / Dignano,MKV,1943,MU Vodnjan,yes
5683,Vodnjan / Dignano,MKV,1944,MU Vodnjan,yes
5684,Vodnjan / Dignano,MKV,1944,MU Vodnjan,yes
5685,Vodnjan / Dignano,MKV,1945,MU Vodnjan,yes
5686,Vodnjan / Dignano,MKV,1945,MU Vodnjan,yes
5687,Vodnjan / Dignano,MKV,1946-1947,MU Vodnjan,yes
5688,Vodnjan / Dignano,MKV,1947-1953,MU Vodnjan,yes
5689,Vodnjan / Dignano,MKV,1950-,ŽU Vodnjan,no
5690,Vodnjan / Dignano,MKV,1953-1958,MU Vodnjan,yes
5691,Vodnjan / Dignano,MKV,1959-1969,MU Vodnjan,yes
5692,Vodnjan / Dignano,MKU,1573-1704,ŽU Vodnjan,yes
5693,Vodnjan / Dignano,MKU,1714-1762,ŽU Vodnjan,yes
5694,Vodnjan / Dignano,MKU,1762-1802,ŽU Vodnjan,yes
5695,Vodnjan / Dignano,MKU,1802-1812,ŽU Vodnjan,yes
5696,Vodnjan / Dignano,MKU,1813-1816,ŽU Vodnjan,yes
5697,Vodnjan / Dignano,MKU,1815-1833,DAPA,no
5698,Vodnjan / Dignano,MKU,1834-1849,DAPA,no
5699,Vodnjan / Dignano,MKU,1850-1859,DAPA,no
5700,Vodnjan / Dignano,MKU,1860-1893,DAPA,no
5701,Vodnjan / Dignano,MKU,1894-1923,BA Poreč,yes
5702,Vodnjan / Dignano,MKU,1923-1949,BA Poreč,yes
5703,Vodnjan / Dignano,MKU,1924,MU Vodnjan,yes
5704,Vodnjan / Dignano,MKU,1925,MU Vodnjan,yes
5705,Vodnjan / Dignano,MKU,1926,MU Vodnjan,yes
5706,Vodnjan / Dignano,MKU,1927,MU Vodnjan,yes
5707,Vodnjan / Dignano,MKU,1928,MU Vodnjan,yes
5708,Vodnjan / Dignano,MKU,1929,MU Vodnjan,yes
5709,Vodnjan / Dignano,MKU,1930,MU Vodnjan,yes
5710,Vodnjan / Dignano,MKU,1931,MU Vodnjan,yes
5711,Vodnjan / Dignano,MKU,1932,MU Vodnjan,yes
5712,Vodnjan / Dignano,MKU,1933,MU Vodnjan,yes
5713,Vodnjan / Dignano,MKU,1934,MU Vodnjan,yes
5714,Vodnjan / Dignano,MKU,1935,MU Vodnjan,yes
5715,Vodnjan / Dignano,MKU,1936,MU Vodnjan,yes
5716,Vodnjan / Dignano,MKU,1937,MU Vodnjan,yes
5717,Vodnjan / Dignano,MKU,1938,MU Vodnjan,yes
5718,Vodnjan / Dignano,MKU,1939,MU Vodnjan,yes
5719,Vodnjan / Dignano,MKU,1940,MU Vodnjan,yes
5720,Vodnjan / Dignano,MKU,1941,MU Vodnjan,yes
5721,Vodnjan / Dignano,MKU,1942,MU Vodnjan,yes
5722,Vodnjan / Dignano,MKU,1943,MU Vodnjan,yes
5723,Vodnjan / Dignano,MKU,1944,MU Vodnjan,yes
5724,Vodnjan / Dignano,MKU,1945-,ŽU Vodnjan,no
5725,Vodnjan / Dignano,MKU,1945,MU Vodnjan,yes
5726,Vodnjan / Dignano,MKU,1946-1947,MU Vodnjan,yes
5727,Vodnjan / Dignano,MKU,1947-1956,MU Vodnjan,yes
5728,Vodnjan / Dignano,MKU,1959-1969,MU Vodnjan,yes
5729,Vodnjan / Dignano,SD,1808,ŽU Vodnjan,yes
5730,Vodnjan / Dignano,SD,1819,ŽU Vodnjan,yes
5731,Vodnjan / Dignano,SD,1819,ŽU Vodnjan,yes
5732,Vodnjan / Dignano,SD,1822,ŽU Vodnjan,yes
5733,Vodnjan / Dignano,SD,1842,ŽU Vodnjan,yes
5734,Vodnjan / Dignano,SD,1853,ŽU Vodnjan,yes
5735,Vodnjan / Dignano,SD,1853,ŽU Vodnjan,yes
5736,Vodnjan / Dignano,SD,1853,ŽU Vodnjan,yes
5737,Vodnjan / Dignano,SD,1853,ŽU Vodnjan,yes
5738,Vodnjan / Dignano,SD,XIX-XX. st.,ŽU Vodnjan,yes
5739,Vodnjan / Dignano,SD,XIX-XX. st.,ŽU Vodnjan,yes
5740,Vodnjan / Dignano,SD,XIX-XX. st.,ŽU Vodnjan,yes
5741,Vodnjan / Dignano,SD,1910,ŽU Vodnjan,yes
